Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Morocco,MAR,17.82362,16.97265,..,..,..,..,..,..,20.26796,19.42453,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Mozambique,MOZ,34.39489,..,33.23384,33.07411,41.49328,40.04899,39.68606,..,36.54379,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Myanmar,MMR,12.49244,31.87973,..,..,..,31.80264,..,24.04989,26.41848,27.24679,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Namibia,NAM,..,24.05035,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Nauru,NRU,..,17.42105,..,..,..,22.84444,..,24.8,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Nepal,NPL,31.05447,30.21542,29.70178,29.56574,29.1808,28.84049,28.57148,28.90357,28.82411,..,28.2567,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Netherlands,NLD,15.54023,..,13.57412,13.85693,..,..,14.46276,14.40346,14.51694,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,New Caledonia,NCL,13.38925,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,New Zealand,NZL,..,15.54971,14.36822,14.36042,..,13.96236,13.81545,13.8189,13.62875,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Nicaragua,NIC,..,31.99942,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Niger,NER,25.85174,23.40357,34.67953,..,26.76826,25.11458,27.95952,26.73945,29.73171,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Nigeria,NGA,22.10538,30.88668,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,North Macedonia,MKD,..,16.04576,..,10.492,9.84804,9.56464,9.42686,..,8.74033,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Norway,NOR,..,..,..,..,..,..,8.63887,8.72728,8.57685,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Oman,OMN,15.28029,17.92822,..,..,..,..,..,..,9.97437,10.21867,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Pakistan,PAK,19.46601,..,..,23.33674,22.31446,21.401,21.12687,21.35147,19.38545,20.39658,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Palau,PLW,..,15.0873,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Panama,PAN,20.08438,16.25611,14.68664,..,15.51877,13.58912,13.32796,14.50099,13.5809,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Papua New Guinea,PNG,..,..,..,27.40981,..,..,..,34.2964,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Paraguay,PRY,..,11.88346,..,18.4041,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Peru,PER,19.68698,20.35754,16.69359,16.75243,15.46321,14.20135,14.09055,14.33983,14.57939,14.20042,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Philippines,PHL,33.34573,..,..,..,..,26.99059,26.22974,23.52214,23.88062,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Poland,POL,..,..,8.90961,8.66085,9.5332,9.45976,9.3184,9.19768,9.09854,..,..,..
